DEBUG 2025-08-15 00:29:06,914 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\core\arrays\sparse\__init__.py first seen with mtime 1755163074.202062
DEBUG 2025-08-15 00:29:06,915 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\core\indexes\frozen.py first seen with mtime 1755163074.2421758
DEBUG 2025-08-15 00:29:06,915 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\httpx\_config.py first seen with mtime 1755158796.3348887
DEBUG 2025-08-15 00:29:06,915 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\_libs\parsers.cp310-win_amd64.pyd first seen with mtime 1755163074.918919
DEBUG 2025-08-15 00:29:06,916 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\numpy\_core\_machar.py first seen with mtime 1755163051.974137
DEBUG 2025-08-15 00:29:06,916 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pptx\oxml\theme.py first seen with mtime 1755163069.7665515
DEBUG 2025-08-15 00:29:06,916 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\protobuf\message_factory.py first seen with mtime 1755163048.0531898
DEBUG 2025-08-15 00:29:06,916 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\rest_framework\metadata.py first seen with mtime 1755188091.0122118
DEBUG 2025-08-15 00:29:06,917 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\supabase\_async\client.py first seen with mtime 1755158797.5152016
DEBUG 2025-08-15 00:29:06,917 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\core\array_algos\take.py first seen with mtime 1755163074.2095544
DEBUG 2025-08-15 00:29:06,917 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\protobuf\timestamp_pb2.py first seen with mtime 1755163048.079738
DEBUG 2025-08-15 00:29:06,918 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pydantic\_internal\_forward_ref.py first seen with mtime 1755158793.4553835
DEBUG 2025-08-15 00:29:06,918 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\subprocess.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,918 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pptx\__init__.py first seen with mtime 1755163069.7116525
DEBUG 2025-08-15 00:29:06,918 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\postgrest\constants.py first seen with mtime 1755158797.3511593
DEBUG 2025-08-15 00:29:06,919 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\postgrest\_sync\request_builder.py first seen with mtime 1755158797.3501587
DEBUG 2025-08-15 00:29:06,919 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\inspect.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,920 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\requests\hooks.py first seen with mtime 1755163065.9158902
DEBUG 2025-08-15 00:29:06,920 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\core\management\base.py first seen with mtime 1754973633.0836983
DEBUG 2025-08-15 00:29:06,920 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\ai\generativelanguage_v1beta\services\permission_service\transports\grpc_asyncio.py first seen with mtime 1755163101.7518742
DEBUG 2025-08-15 00:29:06,921 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\opcode.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,921 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\_libs\tslibs\np_datetime.cp310-win_amd64.pyd first seen with mtime 1755163074.9556792
DEBUG 2025-08-15 00:29:06,921 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\ai\generativelanguage_v1beta\services\permission_service\transports\base.py first seen with mtime 1755163101.749854
DEBUG 2025-08-15 00:29:06,921 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\core\arrays\datetimelike.py first seen with mtime 1755163074.177755
DEBUG 2025-08-15 00:29:06,922 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\core\ops\array_ops.py first seen with mtime 1755163074.2556877
DEBUG 2025-08-15 00:29:06,922 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1754973628.5515254
DEBUG 2025-08-15 00:29:06,922 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\reportlab\lib\enums.py first seen with mtime 1755163066.3869462
DEBUG 2025-08-15 00:29:06,922 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\ai\generativelanguage_v1beta\services\generative_service\transports\rest.py first seen with mtime 1755163101.7413478
DEBUG 2025-08-15 00:29:06,923 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1754973631.7357538
DEBUG 2025-08-15 00:29:06,923 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\rest_framework\utils\urls.py first seen with mtime 1755188091.1847723
DEBUG 2025-08-15 00:29:06,924 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\ai\generativelanguage_v1beta\services\discuss_service\async_client.py first seen with mtime 1755163101.7282338
DEBUG 2025-08-15 00:29:06,924 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\rsa\transform.py first seen with mtime 1755163064.9944398
DEBUG 2025-08-15 00:29:06,924 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\numpy\lib\mixins.py first seen with mtime 1755163051.5042531
DEBUG 2025-08-15 00:29:06,924 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\_libs\tslibs\offsets.cp310-win_amd64.pyd first seen with mtime 1755163074.9599183
DEBUG 2025-08-15 00:29:06,925 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\logging\__init__.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,925 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\numpy\ma\core.py first seen with mtime 1755163051.6379044
DEBUG 2025-08-15 00:29:06,925 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\asyncio\log.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,925 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\urllib3\response.py first seen with mtime 1755163046.2493117
DEBUG 2025-08-15 00:29:06,925 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1754973633.292674
DEBUG 2025-08-15 00:29:06,925 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\auth\crypt\base.py first seen with mtime 1755163098.5243962
DEBUG 2025-08-15 00:29:06,925 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\encodings\raw_unicode_escape.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,926 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\requests\cookies.py first seen with mtime 1755163065.9138896
DEBUG 2025-08-15 00:29:06,926 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\pkgutil.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,926 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\storage3\_sync\file_api.py first seen with mtime 1755158797.1779084
DEBUG 2025-08-15 00:29:06,926 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\core\tools\__init__.py first seen with mtime 1755163074.2687626
DEBUG 2025-08-15 00:29:06,926 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1754973633.0351787
DEBUG 2025-08-15 00:29:06,926 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\_libs\tslibs\ccalendar.cp310-win_amd64.pyd first seen with mtime 1755163074.9435573
DEBUG 2025-08-15 00:29:06,926 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1754973633.5783124
